1gram,nullpvalue,nullcor,pvalue,cor,valence,country
admin,0.588049,-0.096,0.596702,-0.094,4.37,GB
aloha,0.198011,0.226,0.69723,-0.069,7.1,GB
anaphylactic,0.662848,-0.078,0.028636,-0.376,4,GB
airport,0.514993,0.116,0.12091,0.271,6,GB
altercation,0.769367,0.052,0.13015,0.265,3.61,GB
adrenaline,0.383927,0.154,0.652328,-0.08,6.61,GB
apron,0.955831,0.01,0.775458,0.051,5.8,GB
awesome,0.764805,0.053,0.183536,0.234,7.86,GB
accuse,0.212758,0.219,0.88416,-0.026,2.68,GB
affiliation,0.652567,0.08,0.053012,0.335,5.32,GB
alternating,0.549671,-0.106,0.021389,-0.393,5.37,GB
assign,0.821804,-0.04,0.012848,0.422,4.75,GB
astral,0.139832,-0.259,0.592892,-0.095,5.32,GB
antibiotics,0.859121,0.032,0.114897,-0.275,5.05,GB
arena,0.81797,-0.041,0.040117,0.354,5.75,GB
assemble,0.915894,0.019,0.424495,0.142,5.14,GB
acknowledgement,0.416294,0.144,0.050777,0.338,6.53,GB
admiration,0.035068,-0.363,0.88904,-0.025,7.58,GB
affliction,0.746829,0.057,0.932296,-0.015,3.76,GB
abiding,0.088321,-0.297,0.014099,0.417,5.57,GB
animation,0.490234,0.122,0.042502,0.35,6.42,GB
albino,0.95866,-0.009,0.044698,-0.346,4.9,GB
altitude,0.494528,0.121,0.138389,-0.259,5.27,GB
annoy,0.683017,-0.073,0.112845,0.277,2.49,GB
antagonistic,0.990447,-0.002,0.074218,-0.31,4.32,GB
apathy,0.313259,-0.178,0.039853,-0.354,3.68,GB
accept,0.664889,-0.077,0.001617,-0.52,6.39,GB
approach,0.676623,-0.074,0.025046,0.384,5.45,GB
affirmative,0.977693,0.005,0.233966,0.21,5.94,GB
acceptable,0.565351,0.102,0.081941,-0.303,6.59,GB
adobe,0.921354,-0.018,0.845202,0.035,5.25,GB
angst,0.065403,-0.32,0.002122,0.509,3.5,GB
accurate,0.828376,-0.039,0.341526,-0.168,7.42,GB
airplane,0.030892,0.371,0.042343,0.35,5.25,GB
admirer,0.471468,0.128,0.139166,-0.259,7.05,GB
aforementioned,0.113669,-0.276,0.000821,0.547,5.21,GB
aquatic,0.116304,0.274,0.066374,-0.319,6.8,GB
accident,0.757244,0.055,0.87765,0.027,2.55,GB
amnesty,0.006505,-0.458,0.024023,0.386,5.38,GB
angry,0.786668,0.048,0.012515,0.424,2.53,GB
aquarium,0.240691,-0.207,0.057486,-0.329,6.43,GB
aquarium,0.240691,-0.207,0.012109,0.298,6.5974,FR
applejack,0.205236,0.223,0.210034,-0.221,5.79,GB
architecture,0.456297,0.132,0.059829,0.326,6.05,GB
atom,0.068554,0.316,0.00225,-0.506,5.74,GB
assassinate,0.482894,-0.125,0.032781,0.367,3.27,GB
adjourn,0.519889,0.114,0.169846,-0.241,5.5,GB
alphabet,0.83117,-0.038,0.355896,0.163,5.95,GB
anomaly,0.666096,-0.077,0.149786,-0.252,4.84,GB
arouse,0.566912,0.102,0.027438,-0.378,6.67,GB
adrift,0.583916,-0.097,0.002029,0.511,4.36,GB
asshole,0.568203,-0.101,0.002229,0.507,2.11,GB
average,0.423901,0.142,0.000434,-0.57,4.89,GB
absurd,0.29135,-0.186,0.178815,-0.236,4.45,GB
absurd,0.29135,-0.186,0.787505,-0.047,3.66667,DE-W
accursed,0.182431,0.234,0.390131,0.152,3.21,GB
archdiocese,0.914982,0.019,0.500387,-0.12,3.95,GB
attribute,0.145534,0.255,0.102365,0.285,5.67,GB
anarchy,0.071079,0.313,0.335707,-0.17,3.68,GB
albatross,0.911557,0.02,0.804239,-0.044,5.68,GB
amuck,0.436832,0.138,0.132096,0.264,4,GB
acquaintance,0.466803,-0.129,0.534985,0.11,5.58,GB
allowance,0.557193,-0.104,0.006063,-0.461,6.74,GB
